trad,simp,skt,n_chars,n_syl,n_aligned,char_syl_ratio,phon_score,align,pos,label
琵琶,琵琶,vīṇā,2,2,2,1.0,0.0,exact,noun,calque
羯洛迦孫馱佛,羯洛迦孙驮佛,krakucchanda,6,4,0,1.5,0.0,length_mismatch,proper noun,calque
瑠璃,瑠璃,vaiḍūrya,2,3,2,0.667,0.0,off_by_one,noun,calque
十六大國,十六大国,ṣoḍaśa mahājanapada,4,9,0,0.444,0.0,length_mismatch,proper noun,calque
瑩,莹,mṛṣṭa,1,2,1,0.5,0.0,off_by_one,noun,calque
迦羅迦村馱佛,迦罗迦村驮佛,krakucchanda,6,4,0,1.5,0.0,length_mismatch,proper noun,calque
賴吒和羅,赖吒和罗,rāṣṭrapāla,4,4,4,1.0,0.5,exact,proper noun,calque
迦羅迦村馱,迦罗迦村驮,krakucchanda,5,4,4,1.25,0.5,off_by_one,proper noun,calque
俱留孫佛,俱留孙佛,krakucchanda,4,4,4,1.0,0.5,exact,proper noun,calque
迦鳩留佛,迦鸠留佛,krakucchanda,4,4,4,1.0,0.5,exact,proper noun,calque
璧玉,璧玉,śilā,2,2,2,1.0,0.0,exact,noun,calque
鳩留秦佛,鸠留秦佛,krakucchanda,4,4,4,1.0,0.5,exact,proper noun,calque
璫,璫,karṇikā,1,3,0,0.333,0.0,length_mismatch,noun,calque
環,环,kaṭaka,1,3,0,0.333,0.0,length_mismatch,noun,calque
瓠,瓠,alābu,1,3,0,0.333,0.0,length_mismatch,noun,calque
雙,双,yuga,1,2,1,0.5,1.0,off_by_one,noun,calque
瓣,瓣,pattra,1,2,1,0.5,1.0,off_by_one,noun,calque
瓤,瓤,kesara,1,3,0,0.333,0.0,length_mismatch,noun,calque
留,留,adhiṣṭhāna,1,4,0,0.25,0.0,length_mismatch,verb,calque
差別,差别,viśeṣa,2,3,2,0.667,0.5,off_by_one,noun,calque
瓫,瓫,kuṇḍa,1,2,1,0.5,0.0,off_by_one,noun,calque
瓮,瓮,kumbha,1,2,1,0.5,1.0,off_by_one,noun,calque
瓶,瓶,ghaṭa,1,2,1,0.5,0.0,off_by_one,noun,calque
