headword,gloss_lat,codex_page,scan_page
Aazam,homo,66,395
Aiaz,caelum serenum,181,395
Aygakladi,perdidit,182,395
Ayti,dixit,161,395
Ayna,dies Veneris,80,395
Aypsiz,sine macula,189,395
Ayringler,eligete,141,395
Ayl,cingulum,12,395
Ayli,gravida,215,395
Aynalamas,non delectatur,165,395
Ayri,distinctus,143,395
Aurex,latrina,120,395
Ac,albus,108,396
Acča,pecunia,91,396
Acsa,vesper,80,396
Acmac,fatuus,116,396
Achel,sapientia,53,396
Ag,rete,70,396
Agač,lignum,89,396
Agengič,scala,120,396
Ager,gravis,76,396
Agermac,infirmitas,86,396
Aha,fluit,207,396
Ahim,flumen,222,396
Ahča,i. q. acča,144,396
Ay,luna,78,396
Aya,palma manus,112,396
Ayach,pes,113,396
Ayadi,recusavit,227,396
Aianirmen,parco,132,396
Ayas,i. q. aiaz,82,396
Agerlarmen,honoro,30,396
Aguxlug,frenum,122,396
Agsah,claudus,117,396
Agbet,omnino,69,396
Agriki,"s. agrigi, cf. agrich",187,396
Agrurmen,doleo,19,396
Aghlic,albedo,86,396
Ač,famelicus,144,396
Ažarmen,aperio,7,396
Ačebergil,expone,233,396
Ačergansa,si moeret,158,396
Ačirganurmen,amaresco,180,396
Ačuv,amaritudo,193,396
Ačchuz,clavis,119,396
At,equus,121,396
Atagirmen,nomino,40,397
Atas,cognominis,226,397
Asau,maximopere,157,397
Atar,aromatopola,91,397
Atov,insula,139,397
Atlanurmen,equito,24,397
Atlarmen,transgredior,222,397
Atli,nominatus,144,397
Atlu,chisi «eques,105,397
Anus,adhuc,64,397
Anginza,donec,65,397
Anglarmen,intelligo,31,397
Ančak,illico,165,397
Ant,juramentum,138,397
Anda,illuc,67,397
Andi,talis,158,397
Andir,legit,225,397
Anna,mater,114,397
Anzagina,aliquantulum,64,397
As,famelicus,194,397
Asarmen,pendo,43,397
Asen,nuptiae,39,397
Asigirmen,festino,137,397
Asildi,pependit,200,397
Asuch,amator,115,397
Askine,paucus,147,397
Ascara,palam,69,397
Astanči,revenditor,101,397
Astelan,usura,85,397
Astinda,subtus,70,397
Astri,"multum, «valde",161,397
Astlan,leo,127,397
Assov,adjutorium,132,397
Asrar,alit,195,397
Asrov,protectio,197,397
Aslak,desertum,137,397
Asli,frumentum,130,397
Az,fames,27,397
Azasti,aberravit,222,397
Azi,turlu «amare,64,397
Azik,s. azih utilitas,185,397
Azih,edulium,194,397
Aziz,i. q. haziz,233,397
Azti,trangressus est,164,397
Azturmen,famesco,26,397
Apostoler,apostoli,201,398
Abaga,avunculus,114,398
Abuscha,senex,87,398
Abzû,i. q. avzu «os ejus,147,398
Abramac,defensio,21,398
Abrarmen,defendo,21,398
Amirak,amicus,229,398
Amu,vulva,112,398
Ambar,ladanum,95,398
Amrak,i. q. amirak,141,398
Amll,(ar.) i. e. amllar «opera,201,398
Avas,vox,79,398
Aval,(ar.) «principium,182,398
Avurg'agil,sanctifica,184,398
Avlung,(ar.) «intellectus tuus,147,398
Aracli,genus quoddam telae,108,398
Arassinda,inter,172,398
Araba,currus,121,398
Areg,macer,87,398
Aringči,detractor,223,398
Arov,i. q. are,192,398
Arczulap,affectans,195,398
Archa,humeri patella,111,398
Archum,s. acrê «plane,69,398
Arčilarmen,decortico,136,398
Art,dorsum,146,398
Artarmen,supero,54,398
Artinča,yururmen «sequor,55,398
Artinda,retro,70,398
Artimac,bila «pure,69,398
Artuc,plus,69,398
Artum,nimis,68,398
Artchan,superfluum,85,398
Artmac,idem,54,398
Arsun,ulna,98,398
Arpa,hordeum,130,398
Armut,pirum,125,398
Al,ars,180,398
Alay,ita,67,398
Alaboga,cetus,221,398
Alabota,carduus,135,398
Aliči,emtor,106,398
Algesli,sanctus,77,399
Algis,benedictio,190,399
Algislasin,benedicat,217,399
Alti,sex,158,399
Altmiz,sexaginta,158,399
Aldamac,deceptio,22,399
Alma,pomum,125,399
Allan,vexillum,118,399
Allejoh,laudate Jehovam,220,399
Ägäč,i. q. egeč,213,399
Ägo,fortasse «qua ratione?,214,399
Eygi,bonus,86,399
Äsirding,misertus es,214,399
Amgäk,cruciatus,214,399
Artä,mane,79,399
Ältirsen,asportas,213,399
Eksik,s. essik «minus,68,399
Eksitmädi,non diminuit,216,399
Ecchi,i. q. eki,83,399
Eigirac,melius,68,399
Eygirac,etarmen «melioro,37,399
Eygilic,bonitas,85,399
Eynek,ecce,209,399
Euet,(evet) «ita,67,399
Eki,duo,141,399
Ecsuc,i. q. eksik,20,399
Egau,linea,96,399
Egazi,amita,114,399
Egelik,bonitas,160,400
Egyi,bene,64,400
Egiz,gemelli,221,400
Egirurmen,filo,27,400
Egilic,i. q. egelik,174,400
Egri,curvus,191,400
Egricsi,falsus,117,400
Ehar,planta,103,400
Ehsi,acerbus,83,400
Eyar,habena,122,400
Eyarči,ephippiarius,101,400
Et,caro,212,400
Etarmen,facio,26,400
Etik,montis declivitas,144,400
Etic,calceus,99,400
Eticči,calcearius,99,400
Etis,i. q. et,207,400
Etuc,pulvisculus,135,400
Etmac,panis,103,400
Edez,corpus,201,400
Enarmen,descendo,20,400
Enis,vallis,88,400
Enur,forceps,225,400
Engse,collum,136,400
Enčim,ego ipse,233,400
Enborum,ante,64,400
Es,intellectus,140,400
Esac,asinus,127,400
Esermen,remigo,135,400
Esich,porta,17,400
Esitmac,auditus,81,400
Esirtir,inebriat,194,400
Eskerimäs,nihilipendit,221,400
Eskik,remus,135,400
Eschi,vetus,87,400
Esvermen,oscito,136,400
Esrikči,bibulus,182,400
Ezic,piger,135,400
Eziturmen,audio,1,400
Ezchi,caper,128,400
Epzi,uxor,114,400
Eba,i. q. oba,148,400
Em,medicamentum,138,400
Emanirmen,caveo,233,400
Emegar,vetula,232,400
Eminlic,bila tute,71,400
Emganip,laborans,134,401
Emdi,modo,68,401
Emdurmis,descensus,85,401
Emzac,mamma,111,401
Ewâgeli,i. e. «evangelium,162,401
Evunčlu,gloriosus,212,401
Erca,i. q. er,109,401
Eregirmen,fastidio,9,401
Eriklagan,effinctum,132,401
Eric,prunum,125,401
Erinčak,pigrita,142,401
Emê,i. e. erirmen «sum,157,401
Erur,est,188,401
Eruv,vis,142,401
Erk,"vis, potentia",219,401
Erkeč,johladim perdidi,235,401
Erksindači,possessor,188,401
Erkli,potens,219,401
Erta,tempestive,71,401
Ertmez,non praeterit,205,401
Erdeng,virgo,199,401
Ernin,naris,110,401
Ersac,meretrix,104,401
Ersacsis,castus,115,401
Ersaczi,luxuriosus,117,401
Ersek,luxuria,142,401
Erseklik,i. q. hersegči,186,401
Erlic,natura,111,401
El,manus,112,401
Elac,cribrum,94,401
Elat,humor,110,401
Elelik,pax,46,401
Elikladiler,irriserunt,171,401
Eliclamac,irrisio,104,401
Eliclarmen,irrideo,33,401
Elim,silengdir decipit,224,401
Elči,nuncius,143,401
Eltiri,pellis agnina,97,401
Elturmen,duco,20,401
Elzi,i. q. elči,35,401
Elbeti,saltem,140,402
Elm,(v. ar.) «mundus,159,402
Iatirmen,jaceo,134,402
Ianirmen,minor,38,402
Iang,mos,220,402
Iangay,revertetur,169,402
Iasik,peccatum,157,402
Iazirsa,si occultat,165,402
Iazdim,erravi,134,402
Iappalarmen,fabricor,140,402
Iaman,malus,157,402
Iamarmen,sarcio,52,402
Iara,vulnus,166,402
Iarih,lucidus,190,402
Iarilgadi,misertus est,190,402
Iarovli,aptus,180,402
Iarkin,splendor,193,402
Iarbarsenlar,supplicent!,158,402
Iarligančlu,idem,166,402
Ialbardilar,supplicaverunt,162,402
Iece,communio,168,402
Iegan,esus,157,402
Iegit,juvenis,164,402
Ietkirgil,pervenire fac,192,402
Iengipt,vicit,192,402
Iesdä,Deus,159,402
Iesse,latus,139,402
Iez,aurichalcum,181,402
Iezuklu,peccator,157,402
Iemese,fructus ejus,158,402
Ieronimu,s,166,402
Ierosolm,Hierosolyma,161,402
Iariklich,lumen,159,402
Iaricte,illuminavit,159,402
Ioch,non est,158,402
Iochari,<sursum,160,402
Iopsinip,approbans,195,403
Iol,via,163,403
Ioluchtu,obviam venit,164,403
Iuunurmen,lavo,10,403
Iugrup,festinans,214,403
Iumarmen,nicto,133,403
Iwc,"i. q. ioch, jok",158,403
Inanmagil,ne credas,163,403
Inamli,fidelis,141,403
Ine,acus,181,403
Inčkaydir,fortasse plangit,134,403
Inčcalap,subtiliter,71,403
Inčcha,subtilis,87,403
Ingac,mentum,170,403
Iwgundi,se inclinavit,160,403
Iwx,i. q. iws,158,403
Iws,centum,167,403
Ickermen,jugo,220,403
Igarlik,invidia,140,403
Iglading,ploravisti,193,403
Iglik,cuneus,143,403
Ingec,i. q. ingac,222,403
Ingir,ficus,126,403
Ingču,gemma,109,403
Ixdamac,inquisitio,32,403
Ixdarmen,inquiro,32,403
Is,opus,104,403
Iycharmen,dejicio,18,403
Iydim,congregavi,18,403
Ičesti,juvavit in submergendo,220,403
Ičik,vestis pellicea,232,403
Ičip,bibendo,213,403
Ičrih,intimus,187,403
It,canis,134,403
Iti,acutus,180,403
Itt,i. q. it,128,403
Itlandim,perivi,134,403
Idmälägil,exerce,182,403
Inak,fidelis,182,403
Isan,imago,225,403
Isanurmen,confido,17,403
Isanmac,fides,17,403
Isarli,invidus,117,403
Iseb,vestimentum,139,403
Isi,invidus,117,403
Isčv,operarius,234,403
Issinurmen,calefacio,16,403
Issirimen,struo ignem,132,403
Issilic,calidus,16,403
Isz,incendium,139,403
Islagil,odorare,141,403
Islamac,operatio,104,403
Islu,i. q. issilic,139,403
Izi,vestigium ejus,146,403
Izin,calcar,133,403
Izim,pars vestimenti interior,138,403
Izchari,intus,67,403
Iv,sepulcrum,222,404
Iragirmen,dilato,8,404
Irlarlar,cantant,159,404
Ilan,serpens,168,404
Ilermen,pendeo,139,404
Iliptir,alligatum est,140,404
Ilim,rete,221,404
Ilgari,prae,161,404
Oen,i. e. ön «coram,166,404
Oyn,ludus,34,404
Oynas,collusor,114,404
Ocsas,similis,85,404
Ocsasib,similiter,71,404
Oynarmen,ludo,34,404
Ogar,fortuna prospera,137,404
Ogoloch,capella,128,404
Oymac,digitale,97,404
Ouat,caliga,121,404
Ouad,tempus,82,404
Ouada,terminus,106,404
Ouč,pugnus,112,404
Ous,siligo,131,404
Ouratimac,amonitio,9,404
Ouraturmen,admoneo,9,404
Oul,i. q. ogul,200,404
Oulu,magnus,75,404
Ockurbis,legimus,159,404
Ochus,flumen,28,404
Oguturmen,castigo,16,404
Ogus,bos,128,404
Ogur,fur,185,404
Ogul,filius,114,404
Ogri,fur,28,404
Ogrilam,furtive,66,404
Ogrulamac,furtus,27,404
Oglan,puer,104,404
Oghči,spiculorum fabricator,103,404
Ohsassi,similitudo,233,405
Očkac,tussis,138,405
Ot,ignis,79,405
Oscurmac,tussis,60,405
Oscurumen,tussio,60,405
Osta,doctor,19,405
Ossi,? ipse,138,405
Ozä,per,210,405
Ozdan,de summo loco natus,115,405
Oparmen,osculor,41,405
Opkelmekči,iracundus,185,405
Opcha,ira,32,405
Otači,medicus,101,405
Otemis,solvit,146,405
Otunz,mutuum,38,405
Opmac,osculum,41,405
Oprac,vestimentum,32,405
Oba,convalles,88,405
Otus,triginta,146,405
Ovdi,laus,207,405
Ovding,laudavisti,198,405
Ottalarmen,medicor,37,405
Ottac,insula,138,405
Otruczi,mendax,117,405
Otluc,focus,90,405
Odim,lignum,233,405
Ong,salus,197,405
Ongatgil,medicare,187,405
Ongaldi,consanuit,140,405
Onggarmen,marcesco,37,405
Onglu,dexter,146,405
Ox,ipse,146,405
Oxga,alius,74,405
Os,ol ille,206,405
Osal,execrabilis,142,405
Oscarmen,similo,57,405
Ovsar,similis,226,405
Ovretmis,docuit,203,405
Ovlduh,ova piscium,222,405
Ovlu,filius ejus,144,405
Or,fossa,222,405
Orozung,fortuna,28,405
Orû,i. e. orun «locus,204,405
Oruč,i. q. oruz,168,405
Oruz,jejunium,31,405
Organan,gr. opravov,192,405
Orta,chele «communiter,64,405
Ortac,socius,114,405
Ortada,in medio,144,405
Ortu,versus,72,405
Orda,curia,105,405
Ornarmen,habito,140,405
Orsu,fortasse ital. orsù!,230,405
Orbu,funda,222,406
Orman,silva,89,406
Orlas,ascensio,89,406
Ol,ille,73,406
Olarmen,morior,35,406
Olu,mortuus,88,406
Olča,mensura,85,406
Olturumen,sedeo,54,406
Olturuldi,occisus est,192,406
Olturgučlar,scamna,104,406
Olturguz,scabellum,54,406
Olum,mors,35,406
Olturmak,sessio,175,406
Olz,a,36,406
Olzarmen,metior,36,406
Olbeklig,abundantia,194,406
Öuranirmen,disco,6,406
Öctenlänir,gloriatur,222,406
Öctem,superbus,183,406
Öctelik,superbia,183,406
Ögurdi,misere clamitavit,136,406
Öygunč,laudatio,188,406
Öč,vindicta,182,406
Öčugil,vindica,233,406
Öte,trans,215,406
Öw,i. q. eu «domus,162,406
Övermen,laudo,234,406
Övgâ,i. e. övgan «laudata,206,406
Övgerlar,laudant,159,406
Öwtiti,detersit,170,406
Övnir,gloriatur,222,406
Övsin,laudet,210,406
Ösäng,pertinax,227,406
Ösge,alius,170,406
Östi,crevit,203,406
Öz,ipse,197,406
Ötmack,panis,171,406
Ötmäkči,pistor,174,406
Ötli,felleus,203,406
Önadurur,procrescit,212,406
Öngu,levis,220,406
Öpkä,ira,182,406
Öpkani,mend. pro öpkäsi,147,406
Öpti,osculatus est,165,406
Öbuga,nemus,136,406
Ömäd,spes,77,406
Özding,seccessisti,200,406
Özmä,depulsio,234,406
Örumčik,aranea,139,406
Örken,funis,136,406
Örtik,igneus,141,406
Örtli,idem,220,406
Öl,(g)ä «praeda,209,407
Öldi,mortuus est,199,407
Uiaaganda,vigilando,139,407
Uiurmen,dormio,19,407
Uutirme,(uutirmen) «sopio,224,407
Ugat,verecundia,62,407
Ugialurmen,verecundor,62,407
Ugraiadir,murmurat,134,407
Ugrenir,abominatur,164,407
Uyag,turumen «vigilo,62,407
Uyahti,occidit,224,407
Uyanurmen,expergiscor,51,407
Uč,finis,146,407
Učöv,trinitas,207,407
Učuh,exanthema,234,407
Učuz,vilis,88,407
Učkun,scintilla,139,407
Učmak,paradisus,78,407
Učmisley,volando,200,407
Učlik,birlik «trinitas,141,407
Učluk,i. q. učlik,210,407
Utru,obviam,164,407
Utlu,tas «silex,144,407
Udaa,postea,232,407
Udakči,debitor,186,407
Unamak,consensus,142,407
Unarmen,obedio,137,407
Unuturmen,obliviscor>>,41,407
Unutčangdir,obliviosus est,139,407
Unutmac,oblivio,41,407
Undarmen,VOCO,61,407
Undemen,nuncio,137,407
Ux,sensus,53,407
Uxun,longus,86,408
Uxunluc,longitudo,85,408
Uxurmurs,myrrha,96,408
Us,i. q. ux,193,408
Usahči,perditor,223,408
Usanmac,spes,77,408
Usasi,similis,85,408
Usaldi,comminutus est,183,408
Usutmadi,non infregit,189,408
Usculi,linum,106,408
Ustun,super,70,408
Ussurmen,i. q. usurmen,27,408
Ussah,detractio,140,408
Uzêgi,i. e. uzengi,145,408
Uzun,i. q. učun,70,408
Uzum,uva,143,408
Upsunurmen,recordor,50,408
Umuč,spes,209,408
Ur,i. q. ir «cantus,217,408
Uradi,latrat,134,408
Uretti,docuit,220,408
Uru,semen,143,408
Urus,capra novella,235,408
Uruschirmen,litigo,132,408
Ururmen,percutio,45,408
Urgunl,nomen avis cujusdam,144,408
Urpek,fermentum,224,408
Urmach,flagellum,28,408
Urluc,semen,103,408
Ulah,equus,145,408
Ulasurmen,divido,20,408
Ulasmac,divisio,20,408
Ular,ligat,220,408
Ulu,magnus,161,408
Uzermen,abrumpo,139,408
Ulus,pars,85,408
Üücsunurmen,recordor,51,409
Wstwn,i. q. ustun,160,409
Üv,venatio,62,409
Ululuc,magnitudo,86,409
Ulgayirmen,cresco,14,409
Wretir,docet,162,409
Ürengaymen,discam>,158,409
Kaal,ferus,225,409
Kakirdim,edidi sputum,136,409
Kagal,lentus,87,409
Kagis,angor,170,409
Kahal,piger,181,409
Kay,conj. «quod,163,409
Kaia,rupes,136,409
Kaygi,tristitia,187,409
Kaygirsang,si angeris,163,409
Kaytargil,redde,141,409
Kadadi,clavavit,208,409
Kan,sanguis,79,409
Kanov,ventrosus,222,409
Kani,ubi,144,409
Kanî,i. e. kangi «qualis,144,409
Kangiridir,decipit,224,409
Kasart,frustulum,146,409
Kaska,calvus,234,409
Kayturmen,revertor,51,409
Kačti,aufugit,164,409
Kassirmen,frico,29,409
Kazan,quum,135,409
Kat,latus,67,409
Katolik,catholicus,214,409
Katulangil,exerce te ipsum,141,409
Katti,durus,174,409
Kazna,gazophylacium,205,409
Kabag,porta,186,409
Kaban,aper,181,409
Kabul,eter «accipit,183,409
Kam,katun «incantatrix,9,410
Kamadi,fascinavit,138,410
Kamlik,etermen «fascino,9,410
Kavosin,scapus pennae,136,410
Kavda,n,227,410
Kar,nix,40,410
Kara,niger,143,410
Karakči,praedo,213,410
Karangi,obscurus,142,410
Karav,retributio,201,410
Karavas,ancilla,181,410
Kara'di,obscuritas facta est,200,410
Karalic,atramentum,64,410
Karedim,vidi,135,410
Karin,venter,215,410
Karp,? «angor,146,410
Kalay,stannum,97,410
Kalam,calamus,90,410
Kaling,spissus,139,410
Kalip,forma,99,410
Kalurmen,maneo,51,410
Kalkani,scutum ejus,170,410
Keyc,vestis,184,410
Kek,odium,182,410
Kegmič,aspectus luscus,147,410
Keyic,indumentum,197,410
Kečak,paucus,144,410
Kečirip,deducendo,202,410
Karisurmen,defendo,21,410
Karismac,defensio,21,410
Kargadi,execratus est,135,410
Kargase,lippus,228,410
Ka'gizlu,maledictus,168,410
Karčaga,accipiter,180,410
Kengezzingis,consulite,168,410
Kes,vicis,175,410
Kesetmak,učun «coactus,233,410
Kesmey,non secans,203,411
Keben,? «tegillum,234,411
Kebermis,vestitus,140,411
Kemä,navis,138,411
Kemizildi,demtus,169,411
Kemirrimen,rodo,139,411
Kerek,necesse est,144,411
Keriklirmen,irritor,136,411
Keris,rixa,229,411
Kertek,justus,216,411
Kerteg,talamus,190,411
Kerti,verus,160,411
Kersangi,piger,135,411
Kermê,i. e. kermen «urbs,197,411
Kelänedir,? «trahit,228,411
Kiynarsen,affligens,213,411
Kiģir,nictatur,224,411
Kin,vagina,138,411
Kinadi,torsit,138,411
Kinadir,cannabis,143,411
Kinalip,affligens se,134,411
Kinov,cruciatus,138,411
Kingir,curvus,140,411
Kis,hiems,145,411
Kislar,hibernat,145,411
Kısarmen,premo,138,411
Kisi,homo,173,411
Kisidi,glutivit,235,411
Kistalicip,proturbans,221,411
Kislamis,abditum est,144,411
Kislov,vervactum,229,411
Kizar,ardet,227,411
Kyzi,"i. q. kisi, kysi",141,411
Keliyrir,venit,143,411
Kyk,incendium,148,411
Kyče,parvus,146,411
Kyčkerir,clamat,169,411
Kijgil,indue,66,411
Kizcha,brevis,164,411
Kizgakisga,idem,146,411
Kipčah,nomen regionis,144,411
Kibi,ad similitudinem,174,411
Kym,quis,23,411
Kir,sordes,216,411
Kirigib,fortasse «lucrosus,229,412
Kirildi,fortasse «distensum est,227,412
Kirov,pruina,234,412
Kirkar,curtat,222,412
Kirchma,pellis ovina,132,412
Kirpi,palpebrae,145,412
Kilisia,ecclesia,205,412
Koâč,i. e. koanč «gloria,202,412
Koanmaga,gloriari,194,412
Kous,cavus,133,412
Kok,caelum,145,412
Kogeripdir,pudet,229,412
Koy,i. q. kök,145,412
Koyan,collocatus,147,412
Kojedirgan,effundens,143,412
Koyulmis,collocatus,159,412
Koymič,Ossum clunium,112,412
Kočkar,aries,144,412
Koti,podex (ejus),112,412
Kotur,scabies,116,412
Kones,argentum,143,412
Sopápropos,),30,412
Konis,mansio,193,412
Konulvkče,cum justitia,230,412
Kongrov,campana,234,412
Kondergil,complana,183,412
Kondi,habitavit,188,412
Konvči,invidus,185,412
Koxup,demittens,190,412
Kosoruluklarmen,jugo,223,412
Kosulgil,extende,232,412
Kossigi,dictator,184,412
Kossidim,comitatus sum,140,412
Kopgadeyri,diu,65,412
Kopti,surrexit,193,412
Kopsagan,psalmus,209,412
Kobelek,spuma,143,412
Kovra,dumus,135,413
Koral,instrumentum,233,413
Koron,chorea,10,413
Korunir,videtur,147,413
Korkima'sis,inaestimabilis,209,413
Korgasin,plumbum,138,413
Korgui,passer,130,413
Korh,pulcritudo,192,413
Kordilar,viderunt,162,413
Kol,brachium,146,413
Kolagaceb,se agitando,143,413
Kök,caelum,78,413
Köksug,pectus,172,413
Kögis,idem,205,413
Köčurdi,transtulit,195,413
Köturem,macer,139,413
Köturdi,levavit,190,413
Körk,decus,204,413
Kuezlu,superbus,185,413
Kuun,i. q. kun,215,413
Kukel,gramen,135,413
Kugänädir,? «coaptat,228,413
Kujöv,sponsus,190,413
Kučtu,amplexus est,165,413
Kučlu,fortis,135,413
Kuter,pastorem agit,159,413
Kutulis,salvatio,141,413
Kutkardač,salvator,159,413
Kutkardi,salvavit,189,413
Köz,oculus,210,413
Kömis,argentum,143,413
Kör,fossa,224,413
Köröul,murus,222,413
Köruvsap,multum desiderans,196,413
Kuttilmak,salvatio,141,413
Kutlu,felix,209,413
Kun,dies,158,413
Kunh,palea,234,414
Kus,avis,144,414
Kul,servus,113,414
Kusänč,desiderium,186,414
Kussut,res quaedam rara,144,414
Kuzun,potentia,42,414
Kum,arena,180,414
Kuma,amasia,181,414
Kumartki,testamentum,221,414
Kumlamak,invidia,142,414
Kuv,pallidus,139,414
Kuvnči,i. q. konvči,186,414
Kurum,rus,220,414
Kurgan,tumulus,222,414
Kurč,sedile,223,414
Kurtka,vetula,232,414
Kw,n,158,414
Kvvlic,junculus,135,414
Kriv,introitus,215,414
Caynaturmen,ferveo,10,415
Cachimac,blasphemia,10,415
Cachna,opus sculptile,132,415
Cagirmen,blasphemo,10,415
Caytarmen,reddo,50,415
Carau,berumen «retribuo,49,415
Carauas,serva,105,415
Caren,venter,111,415
Cati,chele fortiter,66,415
Catinda,apud,64,415
Carmadim,iter praetentavi,111,415
Catra,mensa,120,415
Cadan,clavus,121,415
Can,sanguis,112,415
Canga,tabulatum,120,415
Cangil,liga,231,415
Candala,cimex,129,415
Canfor,camphora,93,415
Caxangil,acquire,8,415
Cas,cilium,110,415
Casap,lanio,101,415
Casirmen,fodio,29,415
Cabuc,cucurbita,127,415
Cara,cuxan felis niger,128,415
Cerče,verus,161,415
Cimea,n,162,415
Cilnirler,intrant,141,415
Coarmen,demitto,19,415
Coun,pepo,126,415
Coux,tapetum,123,415
Coc,caeruleus,108,415
Cogrulac,bila recte,70,415
Coy,ovis,134,415
Coia,dominus,105,415
Coyan,lepus,97,416
Coyarmen,pono,46,416
Coturulmis,suspensus,85,416
Coturmecli,c,78,416
Conaclarmen,hospitor,7,416
Conu,rectus,83,416
Congul,cor,13,416
Coparurmen,aedifico,24,416
Cobarmac,aedificatio,24,416
Coptaluc,granum,131,416
Cobuxči,sonator,103,416
Comur,carbo,97,416
Comuldruc,pectorale,122,416
Cor,caecus,116,416
Corunurmen,videtur,7,416
Corcsixlic,turpitudo,85,416
Corgasin,plumbum,97,416
Corgu,x,41,416
Corguxmac,demonstratio,38,416
Corgusurmen,monstro,37,416
Congranirmen,murmuro,136,416
Conček,bracca,66,416
Condroc,thus,92,416
Consi,vicinus,115,416
Coxi,agnus,128,416
Cop,multum,68,416
Corpa,pellis agnina,132,416
Cormac,visus,81,416
Corlarmen,sterto,134,416
Colag,a,125,416
Colan,cingulum,12,416
Colarmen,peto,43,416
Coläge,umbra,137,416
Colga,veniam pete,142,416
Coltuc,ascella,181,416
Cöm,multum,159,417
Cörkli,pulcer,164,417
Cuormen,depso,136,417
Cugir,w «pectus,220,417
Cuyas,sol,78,417
Cuzarmen,amplector,8,417
Cu,(? ma) pellex,105,417
Cumis,argentum,96,417
Cuyarmen,excepto,23,417
Cuyrug,cauda,18,417
Cuč,labor,104,417
Cun,robur,28,417
Cungarmen,mando,140,417
Cusanurmen,desidero,21,417
Cusamac,desiderium,22,417
Cusarmen,vomesco,62,417
Curuc,follis,97,417
Curt,vermis,129,417
Cursac,vesica,113,417
Culuc,birla «humiliter,66,417
Csim,socrus,115,417
Cstian,christiani,169,417
Cliz,i. q. clič,118,417
Chain,socer,114,417
Chaurcina,vas latum,124,417
Chageth,papyrum,91,417
Chahal,vilis,116,417
Chaytarumen,reddo,48,417
Chayda,ubi,72,417
Chati,durus,87,417
Chatisturmac,temperantia,59,418
Chadak,clavus,171,418
Chapuč,saccellus,94,418
Chababa,uva malvatica,93,418
Chabut,yapchut «sapphirus,109,418
Chaburcha,costa,112,418
Chamal,gestor,103,418
Chamir,farina,103,418
Chamus,quietus,116,418
Chax,anas,130,418
Chaxan,caldarium,124,418
Chasuc,cochlear,124,418
