pdf_page,matched,pinyin,k_number,emc_guess,block
451,\bjie\b,,,,64:5 la 64:7 b. le 64:8 A. tan | 64:5 fu 64:7 c. lyu 64:8 B. tan | 64:5 pao 64:7 han 64:8 che | 64:5 a. pai 64:7 A. shao 64:8 jie | 64:5 b. po 64:7 B. xiao 64:8 A. kong | 64:5 na 64:7 juan 64:8 B. qiang
451,\bjie\b,,,,64:5 bai 64:8 men 64:9 yu | 64:6 kuo 64:8 bai 64:9 kui | 64:6 shi 64:8 ju 64:9 A. r6u | 64:6 jie 64:8 A. juan 64:9 B. rou | 64:6 zh&ng 64:8 B. quan 64:9 xuan | 64:6 gdng 64:8 chui 64:9 miao
451,\bjie\b,,,,64:6 jie 64:8 A. juan 64:9 B. rou | 64:6 zh&ng 64:8 B. quan 64:9 xuan | 64:6 gdng 64:8 chui 64:9 miao | 64:6 quan 64:8 jie 64:9 A.ti
452,\bjie\b,,,,64:9 chuai 64:11 tuan 64:13 zhua | 64:9 kai 64:11 Aa. mo 64:13 a. y6ng | 64:9 jiu 64:11 Ab. mao 64:13 b. yong | 64:9 A.jie 64:11 B. mo 64:13 a. lu | 64:9 B. qi 64:11 mo 64:13 b. Iu6 | 64:9 huT 64:11 a. zhe 64:13 shan
452,\bhu\b,,,,64:10 ban 64:12 nao 64:14 zhu6 | 64:10 da 64:12 A. XT 64:14 dao | 64:10 tao 64:12 B. ST 64:14 ye | 64:10 hu 64:12 zun 64:14 nT | 64:10 qian 64:12 nian 64:14 huo | 64:10 A. qiang 64:12 huT 64:14 bin
453,\bhu\b,,,,66:3 you 68:0 ddu 72:2 zhT | 66:3 gai 68:6 A. liao 72:2 zao | 66:3 g5ng 68:6 B. liao 72:2 xun | 66:4 A. fang 68:7 hu 72:2 xu | 66:4 B. fang 68:7 xie 72:3 gan | 66:5 zheng 68:8 jia 72:3 han
453,\bhun\b,,,,66:7 jiu 69:7 zhin 72:4 hao | 66:7 yu 69:8 zhuo 72:4 chang | 66:7 chi 69:8 ST 72:4 ming | 66:7 ao 69:9 xTn 72:4 hun | 66:7 A. bai 69:10 zhuo 72:4 A. yi | 66:7 B. bai 69:14 A. duan 72:4 B. yi
455,\bjie\b,,,,75:5 a. blng 75:6 gen 75:8 bang | 75:5 b. bing 75:6 ge 75:8 zong | 75:5 fu 75:6 zai 75:8 cheng | 75:5 a. bai 75:6 jie 75:8 z5o | 75:5 b. bo 75:6 A. heng 75:8 J1' | 75:5 mou 75:6 B. hang 75:8 peng
456,\bhu\b,,,,75:9 A. zha 75:10 gao 75:12 A. heng | 75:9 B. cha 75:11 gai 75:12 B. heng | 75:9 bi 75:11 y6u 75:13 tan | 75:9 yang 75:11 hu 75:13 yln | 75:9 feng 75:11 Jiang 75:13 XI | 75:9 a. xie 75:11 cao 75:13 cheng
456,\bjie\b,,,,75:9 mei 75:11 B. cong 75:13 qmg | 75:9 zhen 75:11 fan 75:13 jian | 75:9 ji 75:11 16u 75:13 qiang | 75:9 jie 75:11 shu 75:14 A. tao | 75:9 ye 75:11 biao 75:14 B.dSo | 75:9 chu 75:11 jiu 75:14 a. blng
459,\bhu\b,,,,85:7 hao 85:8 tab 85:9 xuV | 85:7 A. lang 85:8 cong 85:9 pen | 85:7 B. lang 85:8 lei 85:9 jian | 85:7 a. fu 85:8 tian 85:9 hu | 85:7 b. fou 85:8 dan 85:9 xiang | 85:7 yu 85:8 yu 85:9 A. dan
459,\bhun\b,,,,85:7 JTng 85:8 shen 85:9 B. tang | 85:7 xiao 85:8 chun 85:10 yu£n | 85:7 she 85:8 yuan 85:10 zhun | 85:7 ydng 85:8 hun 85:10 ke | 85:7 xian 85:8 qTng 85:10 liii | 85:7 juan 85:8 yan 85:10 gou
459,\bhun\b,,,,85:8 a. ye 85:9 qu 85:10 zhen | 85:8 b. yi 85:9 dii 85:10 sou | 85:8 ban 85:9 bo 85:10 rong | 85:8 a. he 85:9 wo 85:10 hun | 85:8 b. hao 85:9 A. wo 85:10 A. ni | 85:8 Hang 85:9 B. guo 85:10 B. niao
459,\bhun\b,,,,85:8 b. xiao 85:9 ke 85:10 dian | 85:8 qi 85:9 you 85:10 ZT | 85:8 ping 85:9 miao 85:10 fu | 85:8 A. 1m 85:9 hun 85:10 A. hua | 85:8 B. lin 85:9 pai 85:10 B. gu | 85:8 a. sha 85:9 mei 85:10 zT
460,\bhu\b,,,,Index 451 | 85:11 xiu 85:12 pan 85:14 \.JT | 85:11 hu 85:12 guT 85:14 B.ji | 85:11 zhi 85:12 qian 85:14 iao | 85:11 shen 85:12 lu 85:14 ru
460,\bhu\b,,,,85:11 shen 85:12 lu 85:14 ru | 85:11 dT 85:12 xi 85:14 tab | 85:11 lu 85:12 huang 85:14 tiuo | 85:11 hu 85:12 jian 85:14 Ian | 85:11 man 85:12 run 85:14 jun | 85:11 yu 85:12 iao 85:14 pu
460,\bjie\b,,,,85:12 mang 85:13 huo 85:21 ba | 85:12 jiao 85:14 shi 85:22 wan | 85:12 po 85:14 ning 85:24 gan | 85:12 jie 85:14 meng 86:0 hu6
461,\bhu\b,,,,86:5 ji6ng 86:10 B. shan 86:15 shub | 86:5 tai 86:10 XT 86:16 lu | 86:5 bing 86:10 A. he 86:16 yan | 86:5 zhu 86:10 B. hu 86:17 yue | 86:6 lie 86:10 xiong 86:17 Ian | 86:6 xiao 86:10 xun 86:18 jue
462,\bhu\b,,,,93:8 XT 9944::99 you 9966::55 cT | 93:8 If 9944::99 you 9966::55 po | 93:9 jian 9944::1100 yao 9966::55 ke | 93:10 kao 9944::1100 hu£ 9966::55 jia | 93:10 luo 9944::1100 yuan 9966::55 mih | 93:11 A. If 9944::1100 a. ai 9966::55 shan
462,\bhu\b,,,,94:4 niu 9944::1133 du 96:6 heng | 94:4 di 9944::1133 xiSn 96:6 ban | 94:5 xia 9944::1144 xian 96:6 pei | 94:5 hu 9944::1144 xun 96:6 liu | 94:5 you 9944::1144 huo 96:7 cheng | 94:5 g6u 9944::1144 lie 96:7 ting
463,\bhu\b,,,,454 Lexicon | 96:8 zhan 96:11 zhang 100:5 shen | 96:8 ju 96:12 lu 100:6 chan | 96:8 chen 96:12 hu^ng 100:7 sheng | 96:8 zhuo 96:12 pu 101:0 yong | 96:8 hu 96:12 jTng 101:2 fu
463,\bhu\b,,,,96:8 ju 96:12 lu 100:6 chan | 96:8 chen 96:12 hu^ng 100:7 sheng | 96:8 zhuo 96:12 pu 101:0 yong | 96:8 hu 96:12 jTng 101:2 fu | 96:8 qf 96:12 fan 101:2 y6ng | 96:8 kun 96:12 JT 101:7 A. m'ng
463,\bhu\b,,,,96:8 qi 96:13 ai 101:7 B. ning | 96:8 beng 96:13 bi 102:0 tian | 96:8 wan 96:13 zao 102:0 you | 96:8 c6ng 96:13 hu^n 102:0 jia | 96:8 guan 96:14 yu 102:0 shen | 96:8 yan 96:14 wen 102:2 nan
463,\bhu\b,,,,96:9 A. mao 96:19 zan 102:3 m6ng | 96:9 B. mei 97:0 gua 102:3 bi | 96:9 dai 97:5 die 102:4 yun | 96:9 w6i 97:6 A. hu 102:4 tian | 96:9 zhuan 97:6 B. hu 102:4 jie | 96:9 xia 97:11 piao 102:4 quSn
463,\bjie\b,,,,96:9 B. mei 97:0 gua 102:3 bi | 96:9 dai 97:5 die 102:4 yun | 96:9 w6i 97:6 A. hu 102:4 tian | 96:9 zhuan 97:6 B. hu 102:4 jie | 96:9 xia 97:11 piao 102:4 quSn | 96:9 yuan 97:14 ban 102:4 wei
463,\bhu\b,,,,96:9 xia 97:11 piao 102:4 quSn | 96:9 yuan 97:14 ban 102:4 wei | 96:9 nao 97:17 rang 102:5 pan | 96:9 hu 98:0 A. wa 102:5 liu | 96:9 ymg 98:0 B. wa 102:5 ben | 96:9 yii 98:5 ling 102:5 zhen
464,\bjie\b,,,,102:8 wan 104:7 104:14 bie | 102:9 man 104:7 zhi 104:14 ji | 102:10 a. JT 104:7 cud 104:14 chi | 102:10 b. qi 104:8 guan 104:15 jie | 102:14 jiang 104:8 tan 104:15 yang | 102:14 chou 104:8 fei 104:15 teng
464,\bjie\b,,,,104:3 shan 104:10 ji 106:0 b. bo | 104:4 chen 104:10 chuang 106:1 a. bai | 104:4 y6u 104:10 ban 106:1 b. bo | 104:4 jie 104:10 liu 106:2 zao | 104:4 yi 104:10 A. cuo 106:2 zao | 104:5 pi 104:10 B. chai 106:2 mao
464,\bjie\b,,,,104:4 yi 104:10 A. cuo 106:2 zao | 104:5 pi 104:10 B. chai 106:2 mao | 104:5 a. CT 104:10 shou 106:3 di | 104:5 b. Ci 104:10 a. yao 106:4 jie | 104:5 dan 104:10 b. nyue 106:4 huang | 104:5 zhen 104:10 dian 106:5 gao
466,\bjie\b,,,,111:2 yl 112:8 dul 111133::33 qi | 111:3 A. zhT 112:8 wan 111133::44 yao | 111:3 B. zhi 112:9 yan 111133::44 xian | 111:4 shin 112:9 jie 111133::44 A.qi | 111:4 ju 112:9 bi 111133::44 B. zhT | 111:7 cuo 112:9 a. shi 111133::44 qi
466,\bhu\b,,,,112:4 ya 112:10 cuo 111133::55 zhT | 112:5 qu 112:10 pan 111133::55 zuo | 112:5 Iu6 112:10 zhe 111133::55 qu | 112:5 A. zhT 112:10 ke 111133::55 hu | 112:5 B. dT 112:11 zhuan 111133::55 A. zhu | 112:5 zhai 112:11 chgn 111133::55 B. zhou
467,\bjie\b,,,,113:9 yT 115:5 ju 115:11 ji | 113:9 mei 115:5 zT 115:11 yTng | 113:9 di 115:6 a.jia 115:12 sui | 113:10 ydng 115:6 b.jie 115:12 zhud | 113:10 ma 115:6 yi 115:13 sui | 113:11 yu 115:7 XT 115:13 n6ng
468,\bjie\b,,,,116:12 kuan 111188::66 qiong 118:9 zhen | 116:13 cuan 111188::66 dSng 118:9 zhu | 116:13 qiao 111188::66 jiao 118:9 shuo | 116:15 dou 111188::66 jm 118:9 jie | 116:16 zao 111188::66 quan 118:9 huang | 116:17 qie 111188::66 sun 118:9 fan
468,\bjie\b,,,,117:7 tong 111188::66 b. da 118:10 fei | 117:7 s6ng 111188::66 ce 118:10 gou | 117:8 jing 111188::77 yun 118:10 xiao | 117:9 jie 111188::77 lang 118:10 cuan | 117:9 duan 111188::77 ju 118:10 du | 117:15 iine 111188::77 guan 118:10 bi
468,\bhu\b,,,,118:4 ba 118:7 shi 118:11 df | 118:4 ji 118:7 zhu 118:11 peng | 118:4 zhao 118:7 shao 118:11 pai | 118:4 hu 118:7 ting 118:11 mie | 118:4 xiao 118:7 ce 118:11 ze | 118:4 pi 118:7 yan 118:11 cu
469,\bhu\b,,,,118:14 chou 119:9 a. r6u 120:4 ji | 118:14 ji 119:9 b. niii 120:4 fen | 118:16 lu 119:9 xu 120:4 yun | 118:16 tu6 119:9 hu 120:4 A. ren | 118:16 lai 119:10 gao 120:4 B. ren | 118:16 A. long 119:10 tang 120:4 dan
470,\bjie\b,,,,120:5 ban 120:8 b. lu 120:9 geng | 120:5 qu 120:8 ch6u 120:9 mian | 120:6 xie 120:8 quan 120:9 wei | 120:6 a. jie 120:8 qf 120:9 lian | 120:6 b. jie 120:8 qian 120:9 A. pian | 120:6 gua 120:8 xian 120:9 B. bian
470,\bjie\b,,,,120:5 qu 120:8 ch6u 120:9 mian | 120:6 xie 120:8 quan 120:9 wei | 120:6 a. jie 120:8 qf 120:9 lian | 120:6 b. jie 120:8 qian 120:9 A. pian | 120:6 gua 120:8 xian 120:9 B. bian | 120:6 ju6 120:8 shou 120:9 tf
470,\bjie\b,,,,120:6 kuang 120:8 wei 120:9 zhi | 120:6 ci 120:8 A. qT 120:10 ymg | 120:6 geng 120:8 B. qing 120:10 Jin | 120:6 A. jie 120:8 tao 120:10 yi | 120:6 B. xie 120:8 w5n 120:10 zhui | 120:6 ku 120:8 gang 120:10 zhou
470,\bhu\b,,,,120:6 ym 120:8 ling 120:10 zhen | 120:6 lei 120:8 mian 120:10 gao | 120:6 xu 120:8 zou 120:10 ru | 120:6 die 120:8 xi 120:10 hu | 120:6 t6ng 120:8 zT 120:10 teng | 120:6 ST 120:8 jTn 120:10 A. xuan
471,\bjie\b,,,,120:11 1& 120:13 Jiang 122:5 gQ | 120:11 qian 120:13 A. zao 122:5 fu | 120:11 man 120:13 B. sao 122:5 a. ju | 120:11 zhi 120:13 A. zhuo 122:5 b.jie | 120:11 lyu 120:13 B.jiSo 122:5 gu | 120:11 piao 120:13 yi 122:7 juan
471,\bjie\b,,,,120:13 hui 122:0 wSng 123:7 xian | 120:13 A. ji 122:3 wang 123:7 yi | 120:13 B. xi 122:3 han 123:9 yu | 120:13 jian 122:4 fu 123:9 jie
473,\bhu\b,,,,130:5 zhT 130:8 a. yi 130:12 ni | 130:5 bao 130:8 b. ye 130:12 liao | 130:5 qu 130:8 yan 130:12 f^n | 130:5 hu 130:8 ren 130:12 shan | 130:5 yln 130:8 shen 130:12 A. hu | 130:5 xu 130:8 fu 130:12 B. wii
473,\bhu\b,,,,130:5 bao 130:8 b. ye 130:12 liao | 130:5 qu 130:8 yan 130:12 f^n | 130:5 hu 130:8 ren 130:12 shan | 130:5 yln 130:8 shen 130:12 A. hu | 130:5 xu 130:8 fu 130:12 B. wii | 130:6 yan 130:8 fu 130:13 yTng
474,\bjie\b,,,,137:4 B. ban 140:4 qian 140:5 B. shan | 137:4 C. pan 140:4 f6u 140:5 yrng | 137:4 D. bo 140:4 fou 140:5 A. cha | 137:5 ling 140:4 a. jie 140:5 B.ju | 137:5 zhu 140:4 b. gai 140:5 C. qu | 137:5 du6 140:4 A. xu 140:5 D.ju
476,\bhu\b,,,,140:9 d6ng 140:10 TU 140:12 B. fan | 140:9 wSi 140:10 suo 140:12 chan | 140:9 pa 140:10 bei 140:12 jiao | 140:9 hu 140:11 diao 140:12 ruT | 140:9 zang 140:11 tiao 140:12 qiao | 140:9 jia 140:11 long 140:12 y6u
477,\bjie\b,,,,140:14 nT 140:19 zhan 142:5 Chi- | 140:14 gSo 140:19 mf 142:5 lian | 140:14 xu 140:19 luo 142:5 fu | 140:14 A.jie 140:21 lei 142:5 r£n | 140:14 B.jf 140:21 xiao 142:5 zha | 140:14 Ian 141:2 hu 142:5 xi&i
477,\bhu\b,,,,140:14 xu 140:19 luo 142:5 fu | 140:14 A.jie 140:21 lei 142:5 r£n | 140:14 B.jf 140:21 xiao 142:5 zha | 140:14 Ian 141:2 hu 142:5 xi&i | 140:14 jin 141:3 nyufc 142:5 gu | 140:14 A. cdng 141:4 xiao 142:5 A. ju
477,\bhu\b,,,,140:14 B. zang 141:4 qian 142:5 B. qu | 140:14 miao 141:5 A. chu 142:5 A. sh<S | 140:15 6u 141:5 B. chu 142:5 B. yi | 140:15 lyu 141:5 hu 142:5 h'ng | 140:15 yi 141:5 fu 142:6 hui | 140:15 xu 141:6 A. xu 142:6 wa
478,\bhu\b,,,,Index 469 | 142:7 y£n 142:9 hu 142:13 shan | 142:7 ting 142:9 die 142:13 yT | 142:8 zhT 142:9 a. wo 142:13 chdn
479,\bjie\b,,,,"144:3 kan 145:6 lie 145:10 ku | 144:5 xuan 145:7 niao 145:11 If | 144:5 shu 145:7 shu 145:11 A. xi | 144:6 jie 145:7 jia 145:11 B. die | 144:7 ya"" 145:7 cheng 145:11 Czh6 | 144:9 chong 145:7 IT 145:11 lyu"
479,\bjie\b,,,,145:5 B. bei 145:10 ru 146:3 A. yao | 145:5 C. pT 145:10 nai 146:3 B. yao | 145:6 ku 145:10 jidng 146:5 feng | 145:6 A. jie 145:10 tun 146:6 tan | 145:6 B.jia 145:10 chT 146:12 A.fu | 145:6 jie 145:10 niao 146:12 B. fu
479,\bjie\b,,,,145:6 ku 145:10 jidng 146:5 feng | 145:6 A. jie 145:10 tun 146:6 tan | 145:6 B.jia 145:10 chT 146:12 A.fu | 145:6 jie 145:10 niao 146:12 B. fu | 145:6 cai 145:10 qian 146:12 C. fu
480,\bjie\b,,,,147:8 xi 149:3 h6ng 149:5 d | 147:9 yu 149:3 tio 149:5 y6ng | 147:9 du 149:3 xu 149:6 xu | 147:9 A. qm 149:3 jie 149:6 xun | 147:9 B. qing 149:3 A. dan 149:6 yi | 147:10 ji 149:3 B. yi 149:6 shi
480,\bjie\b,,,,147:11 Jin 149:3 shan 149:6 gou | 147:12 luo 149:3 qi 149:6 guT | 147:13 A. jue 149:3 tuo 149:6 quan | 147:13 B. jiao 149:3 ji 149:6 jie | 147:14 Ian 149:4 e 149:6 hua | 147:15 df 149:4 ya 149:6 gai
480,\bjie\b,,,,148:5 B. zul 149:4 xu 149:7 ji | 148:5 dT 149:5 su 149:7 zhi | 148:6 ge 149:5 he 149:7 ren | 148:6 A. jie 149:5 zhen 149:7 a. kuang | 148:6 B. jie 149:5 zhu 149:7 b. kuang | 148:6 C. xie 149:5 zheng 149:7 XT
480,\bjie\b,,,,148:5 dT 149:5 su 149:7 zhi | 148:6 ge 149:5 he 149:7 ren | 148:6 A. jie 149:5 zhen 149:7 a. kuang | 148:6 B. jie 149:5 zhu 149:7 b. kuang | 148:6 C. xie 149:5 zheng 149:7 XT | 148:6 D. xie 149:5 A. zT 149:7 shi
480,\bhu\b,,,,148:7 su 149:5 B. che 149:7 keng | 148:8 qi 149:5 gu 149:7 qiao | 148:9 bi 149:5 dT 149:7 A. yu | 148:10 hu 149:5 li 149:7 B. yu | 148:11 shang 149:5 yi 149:7 cheng
481,\bjie\b,,,,472 Lexicon | 149:7 jie 149:9 di 149:11 hu | 149:7 a. wu 149:9 xie 149:11 A. mdn | 149:7 b. wu 149:9 jian 149:11 B. man
481,\bhu\b,,,,149:8 C. zhou 149:10 teng 149:13 yi | 149:8 chan 149:10 jian 149:13 yi | 149:8 A. zhun 149:10 huo 149:14 qian | 149:8 B. zhun 149:10 ge 149:14 hu | 149:8 tan 149:10 a. mi 149:14 zhou | 149:8 wSi 149:10 b. mi 149:14 hao
486,\bhu\b,,,,163:7 lang 163:12 lin 164:8 cu | 163:7 jia 163:12 po 164:9 A.ti | 163:7 jun 163:12 dan 164:9 B. tl | 163:7 ylng 163:12 ye 164:9 hu | 163:7 xi 163:12 kuai 164:9 xu | 163:8 A. bu 163:If you 164:9 A. xlng
488,\bhun\b,,,,167:11 qiang 167:17 b. yue 169:8 yan | 167:11 qi 167:17 chan 169:8 A.e | 167:11 tang 167:17 xiang 169:8 B. yan | 167:11 man 167:18 guan 169:8 hun | 167:11 a. yong 167:18 ni^ 169:8 yu | 167:11 b. yong 167:19 luo 169:8 wen
489,\bjie\b,,,,170:5 c. a 170:9 B. zhui 172:6 luo | 170:5 tup 170:9 sui 172:8 diao | 170:5 A. bei 170:9 huang 172:9 suT | 170:5 B. bi 170:9 jie 172:10 shuang | 170:5 fu 170:10 a. ge 172:10 guan | 170:6 du6 170:10 b.jie 172:10 chu
489,\bjie\b,,,,170:5 A. bei 170:9 huang 172:9 suT | 170:5 B. bi 170:9 jie 172:10 shuang | 170:5 fu 170:10 a. ge 172:10 guan | 170:6 du6 170:10 b.jie 172:10 chu | 170:6 lou 170:10 yun 172:10 za | 170:6 mo 170:10 w6i 172:10 y6ng
490,\bhu\b,,,,Index 481 | 173:5 A. ling 175:0 fei 177:12 JT | 173:5 B. lian 175:7 kao 177:14 A.hu | 173:5 16i 175:11 A. ml 177:14 B. huo | 173:5 a. bao 175:11 B. mi 177:14 xian
491,\bhun\b,,,,181:5 A. po 181:14 xian 184:7 jun | 181:5 B. p6 181:15 pin 184:7 sii | 181:5 ling 181:16 hi 184:7 yu | 181:6 e 181:18 quan 184:8 hun | 181:6 Aa. xie 182:0 A. feng 184:8 xing | 181:6 Ab.jie 182:0 B. feng 184:8 jian
491,\bjie\b,,,,181:5 ling 181:16 hi 184:7 yu | 181:6 e 181:18 quan 184:8 hun | 181:6 Aa. xie 182:0 A. feng 184:8 xing | 181:6 Ab.jie 182:0 B. feng 184:8 jian | 181:6 B. jia 182:5 zhan 184:8 blng | 181:6 yi 182:5 sa 184:8 A. tan
491,\bhu\b,,,,181:6 A. tiao 182:10 yao 184:8 guSn | 181:6 B. fu 182:11 A. liu 184:9 A. yun | 181:7 tou 182:11 B. liu 184:9 B. bun | 181:7 hui 182:11 piao 184:9 hu | 181:7 A. kiri 182:12 biao 184:9 tie | 181:7 B. qiu 183:0 fei 184:9 h6u
493,\bhun\b,,,,194:0 guT 195:8 kun 196:2 jiu | 194:3 mei 195:8 chang 196:3 shT | 194:4 km 195:8 a. jTng 196:3 feng | 194:4 hun 195:8 b. qing 196:3 ming | 194:5 ba 195:8 ling 196:3 yuan | 194:5 A. po 195:9 tf 196:4 ju6
493,\bhu\b,,,,194:5 ba 195:8 ling 196:3 yuan | 194:5 A. po 195:9 tf 196:4 ju6 | 194:5 B. tuo 195:9 ji 196:4 zhen | 194:5 mei 195:9 hu^ng 196:4 bao | 194:7 xiao 195:9 qiu 196:4 yan | 194:8 wang 195:9 qiu 196:4 ya
494,\bhu\b,,,,"196:7 yu 196:12 lu 200:3 mo | 196:7 tf 196:13 yTng 200:4 huT | 196:7 e 196:13 xue 201:0 hua""ng | 196:7 A. hu 196:13 yi 201:5 t6u | 196:7 B. gu 196:13 zhan 201:13 hong | 196:7 wu 196:14 yu 202:0 shu"
494,\bhu\b,,,,196:8 chun 197:10 cuo 203:5 dai | 196:8 geng 197:10 jian 203:5 chu | 196:9 qiu 197:13 yan 203:5 y6u | 196:9 hu 198:0 lu 203:5 dian | 196:9 e 198:2 you 203:6 y> | 196:9 jf 198:2 JT 203:6 xia
