pdf_page,matched,pinyin,k_number,emc_guess,block
136,\bhu\b,hu,K486c,xo',"K486c dig out | hu 85:11 Ml8089 Y. xu~ L. xua' E. xo' | K60k river bank | hu 96:8 M21061 Y. [xuv] L. XUQ' E. xo' | K57f hupo amber | hu 141:2 M32675 Y. xu"" L. xu§' E. xo'"
136,\bhu\b,hu,K60k,xo',"K60k river bank | hu 96:8 M21061 Y. [xuv] L. XUQ' E. xo' | K57f hupo amber | hu 141:2 M32675 Y. xu"" L. xu§' E. xo' | K57b tiger | hu 63:4 Ml 1711 Y. xuv L. xu§v E. xoh"
136,\bhu\b,hu,K57f,xo',"K57f hupo amber | hu 141:2 M32675 Y. xu"" L. xu§' E. xo' | K57b tiger | hu 63:4 Ml 1711 Y. xuv L. xu§v E. xoh | bail out; bailing bucket | hu 46:5 M08003 Y. xuv L. xfiu§s E. yo'"
136,\bhu\b,hu,K57b,xoh,K57b tiger | hu 63:4 Ml 1711 Y. xuv L. xu§v E. xoh | bail out; bailing bucket | hu 46:5 M08003 Y. xuv L. xfiu§s E. yo' | K49v wooded hill | hu 61:5 M10454 Y. xuv L. xfiu3v E. yo'
136,\bhu\b,hu,K49v,yo',bail out; bailing bucket | hu 46:5 M08003 Y. xuv L. xfiu§s E. yo' | K49v wooded hill | hu 61:5 M10454 Y. xuv L. xfiu3v E. yo' | K49x rely on | hu 63:0 Ml 1696 Y. xuv L. xfiu3N E. yo'
136,\bhu\b,hu,K49v,yo',K49v wooded hill | hu 61:5 M10454 Y. xuv L. xfiu3v E. yo' | K49x rely on | hu 63:0 Ml 1696 Y. xuv L. xfiu3N E. yo' | K53a door; household
137,\bhu\b,hu,K53c,yo',"128 Lexicon | hu 63:7 Ml 1746 Y. xiT L. xfiu5v E. yo' | K53c ancient place name; stop; groom, retainer; | retinue; bird resembling a quail"
137,\bhu\b,hu,K53c,yo',"hu 63:7 Ml 1746 Y. xiT L. xfiu5v E. yo' | K53c ancient place name; stop; groom, retainer; | retinue; bird resembling a quail | hu 85:11 M18072 Y. [xiT] L. xfiu§N E. yo' | river name; Shanghai | hu 113:5 M24671 Y. [xux] L. xfiu3s E. yo'"
137,\bhu\b,hu,K49y,yo',"retinue; bird resembling a quail | hu 85:11 M18072 Y. [xiT] L. xfiu§N E. yo' | river name; Shanghai | hu 113:5 M24671 Y. [xux] L. xfiu3s E. yo' | K49y blessings, favour | hu 140:3 M30680A Y. [xuv] L. xfiu3v E. yo'"
137,\bhu\b,hu,K49y,yo',"river name; Shanghai | hu 113:5 M24671 Y. [xux] L. xfiu3s E. yo' | K49y blessings, favour | hu 140:3 M30680A Y. [xuv] L. xfiu3v E. yo' | K35d kind of grass, Rehmannia. See also xia | hu 172:4 M41976A Y. [xuv] L. x f i u §vE. yo'"
137,\bhu\b,hu,K49y,yo',"K49y blessings, favour | hu 140:3 M30680A Y. [xuv] L. xfiu3v E. yo' | K35d kind of grass, Rehmannia. See also xia | hu 172:4 M41976A Y. [xuv] L. x f i u §vE. yo' | K53d kind of bird , same a$ , See also gu | hu 7:2 M00255 Y. xuv L. xfiu3v E. yoh"
137,\bhu\b,hu,K35d,yoh,"K35d kind of grass, Rehmannia. See also xia | hu 172:4 M41976A Y. [xuv] L. x f i u §vE. yo' | K53d kind of bird , same a$ , See also gu | hu 7:2 M00255 Y. xuv L. xfiu3v E. yoh | K54a mutual | hu 15:4 M01613 Y. xuv L. xfiu3v E. yoh"
137,\bhu\b,hu,K53d,yoh,"K53d kind of bird , same a$ , See also gu | hu 7:2 M00255 Y. xuv L. xfiu3v E. yoh | K54a mutual | hu 15:4 M01613 Y. xuv L. xfiu3v E. yoh | freezing cold | hu 97:6 M21392A Y. [xuv] L. xfiu9v E. yoh"
137,\bhu\b,hu,K54a,yoh,"K54a mutual | hu 15:4 M01613 Y. xuv L. xfiu3v E. yoh | freezing cold | hu 97:6 M21392A Y. [xuv] L. xfiu9v E. yoh | K43j bottle gourd, calabash. See also hu | hu 149:14 M36048 Y. xuv L. xfiu^ E. yoh"
137,\bhu\b,hu,K43j,yoh,"hu 15:4 M01613 Y. xuv L. xfiu3v E. yoh | freezing cold | hu 97:6 M21392A Y. [xuv] L. xfiu9v E. yoh | K43j bottle gourd, calabash. See also hu | hu 149:14 M36048 Y. xuv L. xfiu^ E. yoh | K784k protect"
137,\bhu\b,hu,K43j,yoh,"freezing cold | hu 97:6 M21392A Y. [xuv] L. xfiu9v E. yoh | K43j bottle gourd, calabash. See also hu | hu 149:14 M36048 Y. xuv L. xfiu^ E. yoh | K784k protect | hu 177:14 M43068A Y. [xuv] L. xfiu5N E. yoh"
137,\bhu\b,hu,K43j,yoh,"K43j bottle gourd, calabash. See also hu | hu 149:14 M36048 Y. xuv L. xfiu^ E. yoh | K784k protect | hu 177:14 M43068A Y. [xuv] L. xfiu5N E. yoh | K784e strap for carrying a sword; bind. See | also huo"
137,\bhu\b,hu,K784e,yoh,"hu 177:14 M43068A Y. [xuv] L. xfiu5N E. yoh | K784e strap for carrying a sword; bind. See | also huo | hu 86:10 M19291B Y. [xuv] L. xawk E. xawk | Kll29u blaze; hot. Also E. xswk. See also xe | hu 118:4 M25882 Y. xu"" L. xut E. xwst"
137,\bhu\b,hu,K503m,xawk,"also huo | hu 86:10 M19291B Y. [xuv] L. xawk E. xawk | Kll29u blaze; hot. Also E. xswk. See also xe | hu 118:4 M25882 Y. xu"" L. xut E. xwst | K503m long narrow tablet carried by court | officials"
138,\bhu\b,huai,K542d,Ywai'/YWEi',hua above | huai 157:8 M37641a Y. [xwav] L. xfiwar E. Ywai'/YWEi' | K35lj ankle; also hua | hu£ 60:6 M10095 Y. xuj' L. xfiuaj E. YWSJ | K542d paihuai move to and fro; irresolute | huai 61:16 Ml 1456 Y. xwaj' L. xfiwaij E. Ywaij/Yweij
139,\bhu\b,huan,K257o,ywain/ywem,"wall round a market-place; market-place | huan 190:13 M45596 Y. xwan' L. xfiwam E. ywain/ywem | chignon, bun | hu&n 85:7 M17470a Y. [xonv] L. xfiuanv E. ywan' | K257o wash clothes, also huan | huan 85:13 M18382 Y. xonv L. xfiuanv E. ywan'"
144,\bhun\b,hui,K346f,?wiajh,"K346f beard | hui 115:13 M25331a Y. ujv L. ?yajx E. ?wiajh | K3461 dirt, filth; also wei | hun 38:8 M06418 Y. xun L. xun E. xwsn | K457m marriage | hun 61:8 M10812 Y. xun L. xun E. xwsn"
144,\bhun\b,hun,K3461,xwsn,"K3461 dirt, filth; also wei | hun 38:8 M06418 Y. xun L. xun E. xwsn | K457m marriage | hun 61:8 M10812 Y. xun L. xun E. xwsn | K457n confused, stupid | hun 72:4 Ml3806 Y. xun L. xun E. xwan"
144,\bhun\b,hun,K457m,xwsn,"K457m marriage | hun 61:8 M10812 Y. xun L. xun E. xwsn | K457n confused, stupid | hun 72:4 Ml3806 Y. xun L. xun E. xwan | K457k dusk, evening; dark; benighted, stupid; | eunuch; marriage"
144,\bhun\b,hun,K457k,xwan,"hun 72:4 Ml3806 Y. xun L. xun E. xwan | K457k dusk, evening; dark; benighted, stupid; | eunuch; marriage | hun 169:8 M41383 Y. xun L. xun E. xwan | K457q gatekeeper | hun 140:9 M31461 Y. xun L. xyn E. xun"
144,\bhun\b,hun,K457q,xwan,"eunuch; marriage | hun 169:8 M41383 Y. xun L. xun E. xwan | K457q gatekeeper | hun 140:9 M31461 Y. xun L. xyn E. xun | K458H pungent vegetables, garlic, onions; non- | vegetarian food"
144,\bhun\b,hun,K458b,xun,"hun 140:9 M31461 Y. xun L. xyn E. xun | K458H pungent vegetables, garlic, onions; non- | vegetarian food | hun 85:9 M17800 Y. xun' L. xfiun E. ywsn | K458b muddy, turbid, chaotic; stupid; whole | hun 184:8 M44202 Y. [xun'] L. xfiun E. ywsn"
144,\bhun\b,hun,K458b,ywsn,"vegetarian food | hun 85:9 M17800 Y. xun' L. xfiun E. ywsn | K458b muddy, turbid, chaotic; stupid; whole | hun 184:8 M44202 Y. [xun'] L. xfiun E. ywsn | huntunwonton, dumpling soup | hun 184:9 M44254B Y. [xun' I L. xfiun E. ywsn"
144,\bhun\b,hun,K458b,ywsn,"K458b muddy, turbid, chaotic; stupid; whole | hun 184:8 M44202 Y. [xun'] L. xfiun E. ywsn | huntunwonton, dumpling soup | hun 184:9 M44254B Y. [xun' I L. xfiun E. ywsn | K458e same as See also yun | hun 194:4 M45787 Y. xun' L. xfiun E. ywan"
144,\bhun\b,hun,K458e,ywsn,"huntunwonton, dumpling soup | hun 184:9 M44254B Y. [xun' I L. xfiun E. ywsn | K458e same as See also yun | hun 194:4 M45787 Y. xun' L. xfiun E. ywan | K460g spiritual soul | hun 149:9 M35709 Y. unN L. rjuns E. rjw3nh"
144,\bhun\b,hun,K458e,ywan,"K458e same as See also yun | hun 194:4 M45787 Y. xun' L. xfiun E. ywan | K460g spiritual soul | hun 149:9 M35709 Y. unN L. rjuns E. rjw3nh | word-play, jests | him 85:8 M17694 Y. xunv L. x f i m T E. ywan'"
144,\bhun\b,him,K425a,ywan',"word-play, jests | him 85:8 M17694 Y. xunv L. x f i m T E. ywan' | K4l7k mix, confuse; hundunchaos | hun 31:7 M04773 Y. xunx L. xfiun' £. yw3nh | K425a pigsty, latrine | him 61:10 M11035 Y. [xmT] L. xfiunv E. yw3nh"
144,\bhun\b,him,K425a,yw3nh,"K425a pigsty, latrine | him 61:10 M11035 Y. [xmT] L. xfiunv E. yw3nh | K425c disturb, be troubled; suffer, grief | hun 85:10 M17986 Y. [xunv] L. xfiunv E. yw3nh | K425d troubled, disorderly; pigsty, latrine | hu5 150:10 M36221a Y. [xwo^] L. xuat E. xwat"
145,\bhu\b,huo,K1259a,ywaijk/yweijk,"K1259a sudden | huo 177:14 M43068B Y. [xwaj'] L.xfiwaijk E. ywaijk/yweijk | K784e strap for carrying a sword; bind. Also E. | ?waijk. See also hu. | huo 85:13 M18454 Y. [xwo""] L. xuat E. xwat | K346H huohuo splash"
152,\bjie\b,ji,K337a,kiajh,"ji 122:12 M28367 Y. [kiv] L. kiajN E. kiajh | kind of hair cloth, woollens | ji 9:9 M00836A Y. [kiv] L. kfiiajv E. giajh | K3l3p Buddhist hymn, gatha. See also jie | ji 113:6 M24700A Y. tsiv L. tsiajv E. tsiajh | K337a sacrifice. See also zhai"
153,\bjie\b,jia,K504a,kait/keit,"JM 62:7 Ml 1598 Y. [kja""] L. k j ? "" E. kait/keit | K504a kind of spear, jiajidiifficult | jia 115:6 M25039a Y. [kjav] L. kjait E. koit/keit | K393u straw, grain stalk; also jie | jia 181:6 M43452B Y. [kja""] L. kjait E. ksit/keit | K393r rob, misappropriate. See also ji6, xie"
153,\bjie\b,jia,K630m,tsep,"jia 85:7 M17506b Y. [tsjev] L. tsiap E. tsep | K630m permeate, all around; also jia | jia 145:6 M34240B Y. [kja~] L. k j a i p E. ksip/keip | K675o lined garment, same as See also jie | jia 145:7 M34288 Y. [kja""] L. kjaip Efkoip/keip | lined garment"
162,\bjie\b,jiac,,kewh,"jiac 60:13 M10261B Y. kjaw% [sic] L. kjiawv E. kewh | Kll62d narrow road; limit, boundary, frontier. | See also jiao | jie 30:10 M04102b Y. tsje L. tsia E. tsia | K5n sigh; also jue | jie 122:5 M28245b Y. tsje L. tsia E. tsia"
162,\bjie\b,jie,K46h,tsia,See also jiao | jie 30:10 M04102b Y. tsje L. tsia E. tsia | K5n sigh; also jue | jie 122:5 M28245b Y. tsje L. tsia E. tsia | K46h net for rabbits; also ju | jie 9:9 M00855a Y. kjaj L. kjay E. ksij/key
162,\bjie\b,jie,K46h,tsia,K5n sigh; also jue | jie 122:5 M28245b Y. tsje L. tsia E. tsia | K46h net for rabbits; also ju | jie 9:9 M00855a Y. kjaj L. kjay E. ksij/key | K599b accompany; also xi6 | jie 170:9 M41755 Y. kjaj L. kjaij E. kaij/key
162,\bjie\b,jie,K46h,ksij/key,"K46h net for rabbits; also ju | jie 9:9 M00855a Y. kjaj L. kjay E. ksij/key | K599b accompany; also xi6 | jie 170:9 M41755 Y. kjaj L. kjaij E. kaij/key | K599d step, stair, rank | jie 106:4 M22699 Y. kjaj L. kjay E. ksij/key"
162,\bjie\b,jie,K599b,kaij/key,"K599b accompany; also xi6 | jie 170:9 M41755 Y. kjaj L. kjaij E. kaij/key | K599d step, stair, rank | jie 106:4 M22699 Y. kjaj L. kjay E. ksij/key | K599a all | jie 144:6 M34051 Y. kjaj L. kjay E. kaij/ke:j"
162,\bjie\b,jie,K599d,ksij/key,"K599d step, stair, rank | jie 106:4 M22699 Y. kjaj L. kjay E. ksij/key | K599a all | jie 144:6 M34051 Y. kjaj L. kjay E. kaij/ke:j | K879o street, roadway | jie 170:10 M4l783b Y. kjaj"" L. kjayk E. kaijk/keyk"
162,\bjie\b,jie,K599a,kaij/ke:j,"K599a all | jie 144:6 M34051 Y. kjaj L. kjay E. kaij/ke:j | K879o street, roadway | jie 170:10 M4l783b Y. kjaj"" L. kjayk E. kaijk/keyk | K855f to separate; partition; at a distance from; | colloquial pronunciation, also ge"
162,\bjie\b,jie,K855f,kaijk/keyk,"jie 170:10 M4l783b Y. kjaj"" L. kjayk E. kaijk/keyk | K855f to separate; partition; at a distance from; | colloquial pronunciation, also ge | jie 64:9 M12389A Y. [kje""] L. kiat E. kiat, kiat | K3l3n raise, lift up; expose. See also qi. | jie 120:6 M27398b Y. kje' L. kjiat E. ket"
162,\bjie\b,jie,K393p,"kiat, kiat","colloquial pronunciation, also ge | jie 64:9 M12389A Y. [kje""] L. kiat E. kiat, kiat | K3l3n raise, lift up; expose. See also qi. | jie 120:6 M27398b Y. kje' L. kjiat E. ket | K393p form seed, bear fruit; also jie | jie 115:6 M25039b Y. [kja""] L. kjait E. ksit/keit"
162,\bjie\b,jie,K393p,"kiat, kiat","jie 64:9 M12389A Y. [kje""] L. kiat E. kiat, kiat | K3l3n raise, lift up; expose. See also qi. | jie 120:6 M27398b Y. kje' L. kjiat E. ket | K393p form seed, bear fruit; also jie | jie 115:6 M25039b Y. [kja""] L. kjait E. ksit/keit | K393u grain stalk, straw; also jia"
162,\bjie\b,jie,K393p,ket,"K3l3n raise, lift up; expose. See also qi. | jie 120:6 M27398b Y. kje' L. kjiat E. ket | K393p form seed, bear fruit; also jie | jie 115:6 M25039b Y. [kja""] L. kjait E. ksit/keit | K393u grain stalk, straw; also jia | jie 104:15 M22601 Y. tsje"" L. tsiat E. tset"
162,\bjie\b,jie,K393p,ksit/keit,"K393p form seed, bear fruit; also jie | jie 115:6 M25039b Y. [kja""] L. kjait E. ksit/keit | K393u grain stalk, straw; also jia | jie 104:15 M22601 Y. tsje"" L. tsiat E. tset | boil, furuncle | jie 64:8 M12280 Y. tsje"" L. tsiap E. tsiap"
162,\bjie\b,jie,K393u,tset,"K393u grain stalk, straw; also jia | jie 104:15 M22601 Y. tsje"" L. tsiat E. tset | boil, furuncle | jie 64:8 M12280 Y. tsje"" L. tsiap E. tsiap | K635e join, connect, make contact | jie 75:15 M15817 Y. [tsr""] L. tsot E. tsit"
